Fecha,Agente,Tipo de ejercicio,Tipo de practica,Numero de practica,Sensor,Valor de Sensor,Tiempo,Musculo
4/05/2015,Alejandro,,Biceps,,Mioelectrico,211,41828,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,59,41863,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,0,41897,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,0,41932,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,0,41966,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,225,42004,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,172,42033,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,230,42071,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,1,42108,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,0,42143,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,0,42179,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,0,42221,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,0,42267,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,0,42297,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,0,42328,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,0,42363,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,0,42409,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,0,71037,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,0,71070,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,0,71116,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,0,71153,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,0,71197,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,0,71217,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,0,71249,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,0,71281,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,0,71318,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,0,71373,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,0,71411,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,0,71433,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,0,71469,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,0,71523,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,0,71552,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,0,71584,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,0,71622,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,0,71658,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,0,71696,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,0,71738,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,0,71776,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,0,71805,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,0,71822,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,0,71883,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,0,71912,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,0,71944,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,0,71976,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,0,72038,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,0,72071,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,0,72088,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,0,72120,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,0,72153,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,0,72207,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,0,72238,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,0,72278,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,0,72308,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,0,72363,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,0,72387,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,0,72426,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,0,72456,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,0,72495,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,0,72527,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,0,72560,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,0,72597,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,0,72623,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,0,72661,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,0,72699,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,0,72745,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,0,72779,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,0,72833,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,0,72864,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,0,72895,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,0,72926,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,0,72968,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,0,73039,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,0,73082,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,0,73113,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,0,73141,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,0,73194,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,0,73226,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,0,73258,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,0,73291,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,0,73350,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,0,73383,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,2,73410,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,6,73443,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,13,73525,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,18,73567,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,21,73598,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,25,73627,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,36,73759,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,39,73780,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,42,73812,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,45,73829,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,49,73861,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,55,73910,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,61,73942,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,66,73967,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,73,74000,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,80,74033,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,87,74067,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,93,74100,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,97,74151,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,100,74186,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,104,74220,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,108,74252,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,111,74285,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,116,74321,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,121,74359,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,130,74398,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,141,74444,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,143,74475,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,146,74510,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,148,74529,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,151,74571,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,157,74604,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,161,74664,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,164,74697,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,169,74730,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,174,74780,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,175,74838,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,175,74870,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,175,74903,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,175,74931,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,175,75003,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,175,75051,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,175,75071,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,175,75104,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,175,75136,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,175,75197,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,175,75245,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,175,75275,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,175,75308,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,175,75338,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,175,75391,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,175,75426,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,175,75457,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,175,75490,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,175,75524,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,175,75555,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,175,75590,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,175,75658,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,175,75682,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,175,75707,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,175,75739,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,175,75773,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,175,75807,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,175,75826,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,175,75865,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,175,75894,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,175,75926,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,175,75958,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,175,75991,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,175,76024,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,175,76059,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,175,76077,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,175,76114,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,175,76184,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,175,76247,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,175,76281,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,175,76310,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,175,76344,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,175,76377,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,175,76427,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,175,76468,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,175,76504,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,175,76533,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,175,76568,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,175,76611,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,175,76628,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,175,76660,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,175,76693,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,175,76730,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,175,76771,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,175,76800,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,175,76830,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,175,76865,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,175,76902,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,175,76952,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,175,76986,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,175,77015,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,175,77048,
