Fecha,Agente,Tipo de ejercicio,Musculo,Numero de practica,Sensor,Valor de Sensor,Tiempo
6/4/2015,Alejandro,Practica,Biceps,0,Mioelectrico,102,14670
6/4/2015,Alejandro,Practica,Biceps,0,Mioelectrico,107,14706
6/4/2015,Alejandro,Practica,Biceps,0,Mioelectrico,114,14743
6/4/2015,Alejandro,Practica,Biceps,0,Mioelectrico,120,14776
6/4/2015,Alejandro,Practica,Biceps,0,Mioelectrico,126,14810
6/4/2015,Alejandro,Practica,Biceps,0,Mioelectrico,132,14845
6/4/2015,Alejandro,Practica,Biceps,0,Mioelectrico,137,14878
6/4/2015,Alejandro,Practica,Biceps,0,Mioelectrico,144,14917
6/4/2015,Alejandro,Practica,Biceps,0,Mioelectrico,149,14946
6/4/2015,Alejandro,Practica,Biceps,0,Mioelectrico,154,14979
6/4/2015,Alejandro,Practica,Biceps,0,Mioelectrico,160,15013
6/4/2015,Alejandro,Practica,Biceps,0,Mioelectrico,165,15045
6/4/2015,Alejandro,Practica,Biceps,0,Mioelectrico,172,15083
6/4/2015,Alejandro,Practica,Biceps,0,Mioelectrico,177,15122
6/4/2015,Alejandro,Practica,Biceps,0,Mioelectrico,181,15151
6/4/2015,Alejandro,Practica,Biceps,0,Mioelectrico,185,15184
6/4/2015,Alejandro,Practica,Biceps,0,Mioelectrico,187,15230
6/4/2015,Alejandro,Practica,Biceps,0,Mioelectrico,187,15278
6/4/2015,Alejandro,Practica,Biceps,0,Mioelectrico,187,15314
6/4/2015,Alejandro,Practica,Biceps,0,Mioelectrico,187,15330
6/4/2015,Alejandro,Practica,Biceps,0,Mioelectrico,187,15363
6/4/2015,Alejandro,Practica,Biceps,0,Mioelectrico,186,15402
6/4/2015,Alejandro,Practica,Biceps,0,Mioelectrico,184,15435
6/4/2015,Alejandro,Practica,Biceps,0,Mioelectrico,178,15470
